"Protein","Nominal_pvalue","Inactive_mean","Control_mean","the_log(fold_change)","Nominal_pvalue_and_fold_change","Absolute_nominal_pvalue_and_fold_change"
"PRP18_24698.12",0.0015461352285981,524.148477362963,723.265596711111,-0.464549982287148,-1.30573503539887,1.30573503539887
"BICR1_11158.40",0.00271879503968558,898.319444437037,631.313868314815,0.508871118155092,1.30557171503538,1.30557171503538
"G3ST2_10734.339",0.0181555842117876,1644.48925918889,978.114506196296,0.749564311367232,1.30498379937038,1.30498379937038
"NUDC3_4254.6",8.94840986806872e-05,501.236707814815,626.702777774074,-0.322289314123437,-1.30470904757807,1.30470904757807
"SPA11_9002.36",0.00509946019784692,21489.2000403704,14488.1611931481,0.568737275117923,1.30381643613081,1.30381643613081
"AK1C4_18397.5",0.0157252201717557,1156.33096706296,700.741131688889,0.722600901340966,1.30314082491596,1.30314082491596
"ANM1_23351.59",0.00381662494285583,4215.83522637037,2902.06971192593,0.53873630567567,1.30283706061004,1.30283706061004
"PHIPL_23528.199",0.00605670517287915,691.430020588889,460.329753085185,0.586915550920773,1.30163992534155,1.30163992534155
"TMCC3.region.1_8922.4",0.0120050979642954,2334.90555544444,1459.81868318519,0.677575005307555,1.30137379035997,1.30137379035997
"CACB4_11130.158",0.00212659705349149,432.453497959259,605.945370366667,-0.486642724856029,-1.30046255214718,1.30046255214718
"TXD12_4815.25",0.00238473805465471,2583.63781892593,1832.73034981481,0.49540930613761,1.29924029201093,1.29924029201093
"ESRP1_8828.21",4.77257313482102e-06,1156.85298353704,976.76711932963,0.244118992768247,1.29901755745371,1.29901755745371
"DLL1_8264.43",0.000754578479716547,2193.48919755556,1644.067572,0.415958005697389,1.29874384467919,1.29874384467919
"REPS2_24944.12",0.00135428309466831,247.581872425926,338.79563787037,-0.45250961306491,-1.29792904365304,1.29792904365304
"SIAE_9263.57",0.000338384650613829,655.138683140741,848.900823059259,-0.373795677686226,-1.29729129622808,1.29729129622808
"HNF4A_10041.3",0.00478367100536136,22797.5913579259,15475.9190531852,0.558856318971196,1.29668005699548,1.29668005699548
"F19A4_6511.17",4.26973505887168e-06,915.334773648148,774.275534974074,0.241452432202309,1.2965027560125,1.2965027560125
"PAI.2_21676.17",0.00400153710842397,3375.92002055556,2321.06358022222,0.540494682787174,1.29598363880915,1.29598363880915
"LRP1_10699.52",0.000101125726163821,277.288786007407,347.130740748148,-0.32408985840502,-1.29478382111827,1.29478382111827
"CAD15.CD_11215.6",0.0263289544743032,5338.96913589259,3031.015247,0.816760099565016,1.29012679905296,1.29012679905296
"CRIP2_9053.16",0.000175526619268079,1620.72609051852,1277.39370376296,0.34343704532744,1.28983174740328,1.28983174740328
"KNTC2_12730.3",0.00832723214338738,5535.6552467037,3601.29711944444,0.620237464871216,1.28978339144835,1.28978339144835
"NUD12_13947.371",8.54346983604329e-05,1323.89578185556,1648.94751033333,-0.316755918817395,-1.28867891841982,1.28867891841982
"RAB26_6997.32",0.00237748996102719,2004.06625512963,1426.06860084074,0.49088682121844,1.28802875463631,1.28802875463631
"TCP11_8334.65",0.00651250651042045,2493.86189296296,1658.07397122222,0.588873201836379,1.28742511488,1.28742511488
"KCA10_13042.7",0.00102089071829567,4851.7288272963,3601.24218107407,0.430004294591819,1.28615176542236,1.28615176542236
"CD26_15460.9",8.23866433920221e-05,1479.78691345556,1190.08292181852,0.314327345230201,1.28375788672538,1.28375788672538
"CPLX3_21536.65",0.0714360110685039,4710.25294225926,2168.19565844444,1.11930958347709,1.28282146609835,1.28282146609835
"AHSP_9025.5",0.112332062476053,4640.83016474074,1819.62362140741,1.35074283360058,1.28252527840586,1.28252527840586
"NDUBB_7747.47",0.00602068441419717,2210.98325107407,1482.00483537037,0.577137941540851,1.28145061587772,1.28145061587772
"CA198_8035.6",0.0201364134413761,793.572613203704,1339.67271603704,-0.755446448073868,-1.2812506836348,1.2812506836348
"Cadherin.11.ECD_16305.10",0.0315773457178757,2312.7850820963,1279.80864204815,0.853703094798595,1.28108767569791,1.28108767569791
"Calpastatin_3026.5",0.0436530263916426,8379.36485603704,4362.71360081481,0.941615125652314,1.28058305117838,1.28058305117838
"ENPP3_25251.6",0.0011154739157453,1435.67427991852,1063.11742797778,0.43342751298843,1.27971232093724,1.27971232093724
"ISK52_8587.21",0.00112978485242371,1571.46366244815,1163.47187244815,0.433672579292041,1.27803493530492,1.27803493530492
"TLR1.CD_11149.3",0.000100464307831154,872.568292255556,699.1694033,0.319625997698198,1.27786096835124,1.27786096835124
"GREM2_5598.3",0.00224011545482212,5296.64310696296,3791.72168714815,0.482225227571656,1.27776645825068,1.27776645825068
"STX1a_3766.51",3.7101347546204e-05,483.951069955556,396.269320977778,0.28837991195953,1.27769901292059,1.27769901292059
"PD.1_15623.1",0.00153090309058527,711.754218077778,519.810102874074,0.453394463981252,1.27632912872568,1.27632912872568
"P5I11_13022.20",0.00748243182633939,4159.17238692593,2744.72452677778,0.599635121234446,1.27479862218848,1.27479862218848
"ENOX1_12933.17",0.0472239573092093,736.329897122222,378.349115222222,0.960634208928761,1.27364497555449,1.27364497555449
"GCNT4_10854.15",0.000944723237554344,2545.91802466667,1902.20417688889,0.420513857968634,1.27192633270888,1.27192633270888
"SRTD3_22392.5",0.305416213230543,1524.89907415926,275.545329218519,2.46835218338908,1.27146773888414,1.27146773888414
"USF1_21355.4",0.0158461111381045,1537.28997941111,942.258600825926,0.706194362828161,1.27120444363517,1.27120444363517
"Sorting.nexin.16_23408.1",0.00181839033006216,463.727510296296,639.193271592593,-0.462974905870974,-1.26869610081975,1.26869610081975
"DRB3_6962.5",0.00256388850173602,1897.04783947407,1351.15849796296,0.489559140611009,1.2684971128629,1.2684971128629
"T2FB_20927.43",0.000169387999936491,392.545000003704,310.935658440741,0.33624197305491,1.26800794172115,1.26800794172115
"CD8A_5992.50",0.00311655762949008,1727.3714403963,1216.49773665556,0.505844705958733,1.26781115070913,1.26781115070913
"SULT.1E_9878.3",0.00478251958399211,2669.98037037037,1828.72220166667,0.545993201112969,1.26689163487169,1.26689163487169
"EHF_13387.55",0.329937407915689,2236.45567888519,361.164958833333,2.63048433723313,1.26675824363147,1.26675824363147
"KI2S2_10428.1",0.0083197333275962,2006.06179004815,1315.23703704815,0.609043213080168,1.26674325018038,1.26674325018038
"Dtk_2611.72",0.000457392115099995,914.752407414815,703.3030247,0.379234885478624,1.26653504239473,1.26653504239473
"KISS1_6606.61",0.0988962041962123,11694.4322222963,4883.01020596296,1.25997912047713,1.2660526949011,1.2660526949011
"Macrophage.scavenger.receptor.ECD_11282.16",0.178408320133755,1163.9331894963,360.973353922222,1.68904399870676,1.26439282613522,1.26439282613522
"ANM3_12696.166",0.276982542114445,262.073292181481,1261.64088481111,-2.26725907645409,-1.264104863788,1.264104863788
"LDH.H.1_3890.8",0.000841682126831408,4949.097284,6579.49107,-0.410810592997091,-1.26318173036096,1.26318173036096
"a2.HS.Glycoprotein_10966.1",0.0363038344743552,10490.4299996926,5714.08405358148,0.876479651342941,1.26217233211974,1.26217233211974
"NDRG4_7934.11",0.000343546887713116,1865.96683118519,1450.12808637037,0.363743005847956,1.2600108579301,1.2600108579301
"PDLI1_11428.31",0.013143069956733,2939.8319546963,4673.51823044444,-0.668775330832181,-1.25816915691646,1.25816915691646
"ZBT16_22034.61",0.0223009449703952,2285.72728403704,1348.19146096296,0.761627889402053,1.25796306485991,1.25796306485991
"ENTP6_8932.1",0.00347928638047567,1219.27109048148,855.428868314815,0.511299127730086,1.25703392799055,1.25703392799055
"SELPL.ECD_11266.8",0.0511360432207429,3867.77152251852,1975.64991766667,0.969175248193936,1.25146971360298,1.25146971360298
"HBAT_7965.25",0.00463480023656838,4867.87034974074,3357.85913581481,0.535749034370823,1.25042162704007,1.25042162704007
"SIAH1_21858.25",0.00156570044844152,914.912798366667,1245.84890945185,-0.445422966116457,-1.24954118237288,1.24954118237288
"CAND1_13937.75",0.000357651088377649,3053.47689311111,3925.80716051852,-0.362536380186957,-1.24949629854995,1.24949629854995
"TAGL_9756.6",0.00363165920786236,2824.49792192593,1980.55113177778,0.512092491535993,1.24945186462469,1.24945186462469
"Platelet.proteoglycan_19251.56",0.0570091910514934,6192.7409052963,3088.83442385185,1.0035155494343,1.24842865877871,1.24842865877871
"PAP1_15304.1",0.0185699597908926,13478.0569542593,8176.49716051852,0.721057702225578,1.24828718886843,1.24828718886843
"ASB8_22071.38",4.88224662000454e-05,1136.23197531111,929.939876555556,0.289048058594108,1.24619610169498,1.24619610169498
"LRIT2_11716.28",0.281582129675197,2481.38967072593,516.606790125926,2.26400979890283,1.24609947112501,1.24609947112501
"IRF6_9999.1",0.00800259332869055,2223.39767493704,3356.46444437037,-0.594176349167362,-1.24585069936566,1.24585069936566
"HTF4_22472.4",0.00747404147563566,4755.40617296296,3168.69123462963,0.585681484417116,1.24541916921318,1.24541916921318
"ADH1G_15525.294",0.00740679210802858,945.982345659259,1417.32469138889,-0.58328513482209,-1.24261306217147,1.24261306217147
"Apo.A.V_11318.20",0.0118231007804234,2228.50131692963,1426.33934151481,0.643756558179587,1.24069180607062,1.24069180607062
"PMEPA_6936.7",6.00128873406812e-05,891.143292188889,727.144115218519,0.293416104623187,1.23873104701182,1.23873104701182
"SIRT5_12461.8",0.00190068481635799,3115.25057614815,2272.65769537037,0.45496780779852,1.23800830418549,1.23800830418549
"VP9D1_24900.46",0.0632466253833349,669.275823040741,1368.99977364815,-1.03244940370263,-1.23786826474758,1.23786826474758
"CKS.1_12530.14",7.6795947888291e-05,4776.40448559259,3877.80872418519,0.300683371942509,1.23721035278388,1.23721035278388
"Pancreatic.alpha.amylase_18917.53",0.00830500929231975,18945.534032963,12547.1059668148,0.59450316685316,1.23695888619222,1.23695888619222
"KCD15_23263.9",0.0295813919532171,1615.44030866667,923.235740774074,0.807156462754255,1.23412721369452,1.23412721369452
