"Protein","Active_mean","Inactive_mean","Healthy_control_mean","Active/Healthy_control","Inactive/Healthy_control","Active/Inactive","log(Active_and_Healthy_control)","log(Inactive_and_Healthy_control)","log(Active_and_Inactive)"
"HSDL2_23588.9",6010.56268518518,5732.78203703704,7917.58111111111,0.759141283282881,0.724057253924681,1.04845477228221,-0.397559685237156,-0.465824313756536,0.0682646285193802
"PPR27_23589.21",734.943018518519,690.551388888889,561.047018518518,1.30994906711952,1.23082623398006,1.06428432459032,0.389510718600439,0.299627098889384,0.0898836197110554
"EXD1_23591.9",4225.86711111111,4672.96481481482,3866.54281481482,1.09293167398006,1.20856409423689,0.904322475896617,0.128203211905242,0.273293986124354,-0.145090774219113
"M21D2_23593.14",1702.17648148148,2036.04242592593,2241.79964814815,0.759290190310973,0.908217836329759,0.83602210828558,-0.397276725570674,-0.138889725013673,-0.258387000557001
"NR2CA_23594.2",1744.91146296296,1785.44066666667,513.220740740741,3.39992390105766,3.47889421633605,0.977300167706289,1.76550245554081,1.798628811212,-0.0331263556711959
"LACC1_23595.6",1388.72444444444,1303.84459259259,1063.45296296296,1.30586353398764,1.22604820147368,1.06509966934255,0.385004139513682,0.294015698979797,0.0909884405338848
"CCD89_23596.17",406.136296296296,426.371944444444,406.832740740741,0.998288130785206,1.0480276087616,0.95253991635281,-0.00247182154859665,0.0676767230764978,-0.0701485446250943
"AGFG2_23597.11",4032.433,4183.61022222222,7008.4022962963,0.575371222929227,0.596942076860102,0.963864410355629,-0.797435028095006,-0.74433714577728,-0.0530978823177263
"ACO12_23601.43",3389.36114814815,3715.43818518518,2724.92892592593,1.24383469818261,1.36349911729264,0.912237259568138,0.314794768460374,0.447313766275955,-0.132518997815582
"NAPEP_23602.35",678.612944444444,584.55112962963,423.974907407407,1.60059695181996,1.37873991931301,1.1609128954629,0.678610066870117,0.463350337558963,0.215259729311153
"T11L1_23605.3",869.112481481482,853.651944444444,742.037537037037,1.17125136950869,1.15041612025867,1.0181110546724,0.228050734784983,0.202155796861939,0.0258949379230443
"SAM4B_23606.18",706.409037037037,724.728,1433.65368518518,0.492733387663137,0.505511203639383,0.97472298163868,-1.02112086276628,-0.98418502797003,-0.0369358347962463
"CP071_23607.1",248.019888888889,275.897740740741,280.263944444444,0.884951110570175,0.984421100929131,0.898955853074388,-0.176330339676159,-0.0226525127926805,-0.153677826883479
"MALD2_23611.16",576.207944444444,568.584092592593,499.037537037037,1.15463848243881,1.13936137142805,1.01340848601143,0.207441214208936,0.188225399443111,0.0192158147658243
"TR112_23615.4",3530.05081481482,4101.70055555555,3441.70325925926,1.02566971900261,1.19176473001288,0.860631039980121,0.03656623633676,0.253099456987368,-0.216533220650608
"PADI1_23616.4",104.597796296296,151.350314814815,111.499277777778,0.938102904170945,1.35741071898655,0.691097315683005,-0.0921819086133743,0.440857310728562,-0.533039219341936
"HYPK_23617.15",852.238685185185,910.250888888889,926.849814814815,0.919500302598068,0.982091029570694,0.936267896673502,-0.12107804547401,-0.0260713414027256,-0.0950067040712847
"ZN593_23618.23",297.741444444445,306.31937037037,244.728018518518,1.21662180835218,1.25167266185826,0.971996789117338,0.2828807703447,0.323857317174817,-0.0409765468301174
"L10K_23619.235",154.822333333333,146.712148148148,138.918648148148,1.11448200365602,1.0561011793873,1.0552795749197,0.156373320549354,0.0787480581885262,0.0776252623608276
"CPZIP_23620.16",974.646018518519,725.507518518518,821.936148148148,1.18579286324665,0.882681118421562,1.34339892232783,0.245852018934599,-0.180035757762839,0.425887776697437
"TIM13_23621.326",5518.53672222222,5290.95851851852,3600.28037037037,1.53280749122728,1.46959624646517,1.04301266073192,0.616176517028349,0.555419846740857,0.0607566702874923
"SOSSC_23622.128",3982.56333333333,4076.2192962963,3297.49025925926,1.20775590531326,1.23615810080117,0.977023816395732,0.272328906833605,0.305863271280402,-0.0335343644467967
"NUD11_23623.48",896.346425925926,721.883888888889,373.505240740741,2.39982288909328,1.93272760365354,1.24167672907282,1.26292793647739,0.950638320140815,0.312289616336575
"PEN2_23624.34",2027.90918518519,1999.89235185185,1600.30761111111,1.26719961281518,1.24969245785396,1.01400917069731,0.341643799723889,0.321573099592005,0.0200707001318848
"K1143_23625.44",1084.35877777778,1095.11488888889,1132.57785185185,0.95742537787117,0.966922394869625,0.99017809800575,-0.0627680477145285,-0.0485279911517318,-0.0142400565627967
"CF057_23627.3",380.722703703704,392.655092592593,351.987907407407,1.0816357485345,1.11553574520421,0.969611017114021,0.113214739222712,0.157736742719318,-0.0445220034966062
"VMAC_23629.4",717.189481481482,723.683111111111,902.041907407408,0.795073350353292,0.802272161823474,0.991026970880032,-0.330840130956506,-0.317836357078672,-0.0130037738778334
