"Protein","Nominal_pvalue","Inactive_mean","Control_mean","the_log(fold_change)","Nominal_pvalue_and_fold_change","Absolute_nominal_pvalue_and_fold_change"
"LY75_16620.26",0.125516856577781,5867.64150218519,4908.97016459259,0.257360330328815,0.231958337024895,0.231958337024895
"PDCD6_19488.1",0.0491467517523974,1746.31144033333,1544.67049381481,0.177011756774939,0.231620800772777,0.231620800772777
"CD59_10480.33",0.230863584684036,629.145041166667,488.965720166667,0.363659323978107,0.231521732199294,0.231521732199294
"NRK1_16853.5",0.297974823628567,718.645246922222,974.81462962963,-0.43984813029408,-0.231281132395403,0.231281132395403
"ANXA9_13588.11",0.129853740397498,171.71006172963,143.307510281481,0.26086036116773,0.231264588747564,0.231264588747564
"SHP1L_24892.8",0.0316671919872763,474.275740737037,426.195761318519,0.154209831241899,0.231220747481177,0.231220747481177
"JPH1_6940.18",0.0299851201793855,1067.06195472963,960.580514444444,0.151665494326599,0.231000835686962,0.231000835686962
"MA1C1_13427.66",0.0540863199179933,737.483065855556,649.9286214,0.18232864002631,0.230994445435539,0.230994445435539
"STAR5_17383.4",0.059139944792014,1344.38685185926,1531.53213992593,-0.188027304661969,-0.230919921399689,0.230919921399689
"RD23A_10058.1",0.0291743111546337,15593.6938683704,17305.9767492593,-0.150307652222164,-0.230722154390371,0.230722154390371
"KCTD6_23267.5",0.0360892822285772,271.407098766667,303.186440325926,-0.159746776486442,-0.230454175120358,0.230454175120358
"ANGL3_10391.1",0.0647468504145003,2216.05969144444,1937.49800411111,0.193801917909419,0.230388106151472,0.230388106151472
"DHRS9_17467.1",0.0848235043803273,1164.66969134815,1351.85133743333,-0.215015653469597,-0.230385787107297,0.230385787107297
"MYOC_16558.2",0.0867283919569594,2001.92479421481,2326.53769551852,-0.216796784577048,-0.23020321716746,0.23020321716746
"COPA1_7006.4",0.0171834616602771,176.520925922222,161.285596703704,0.13022161278036,0.229826736462241,0.229826736462241
"lymphotactin.beta_15617.8",0.0165710881665472,2478.53162562963,2266.76868318519,0.128848491490576,0.229433933918323,0.229433933918323
"PCD10.ECD_9018.38",0.0667939512311561,1288.96341561481,1125.84314810741,0.195205470680558,0.229417740707967,0.229417740707967
"OCLN_24263.6",0.022880666100638,436.885576125926,396.54997942963,0.139752767293397,0.229268794112853,0.229268794112853
"Biotinidase_15644.1",0.115632962507522,2537.33436211111,2141.65139918519,0.244589976954699,0.229160837053691,0.229160837053691
"K0494.C.term_9514.46",0.403862413010994,988.665946455556,660.500679007407,0.581923096411408,0.229141858310865,0.229141858310865
"AP1B1_24954.83",0.0990023511840214,748.063127566667,638.879958844444,0.227615137281431,0.228606285421118,0.228606285421118
"EphB6_5078.82",0.416971931170611,947.833415666667,1438.08851847407,-0.601447051640707,-0.228485632420483,0.228485632420483
"Mannose.binding.lectin_15688.30",0.13780334896507,490.625658437037,408.233888888889,0.265226734658046,0.228291320024415,0.228291320024415
"BGN_13690.26",0.121265494170981,2599.60563781481,2187.79238681482,0.248816943551351,0.227981699207266,0.227981699207266
"RN148.region.1_7742.11",0.0104305316985892,394.453580244444,364.32,0.11464933561224,0.227199849210407,0.227199849210407
"PLSI_12737.12",0.156497350697394,1410.03008218889,1714.05043214815,-0.281683616160415,-0.226894183880479,0.226894183880479
"PADI4_21237.24",0.400355433029735,4756.92405364815,3203.09201666667,0.570563748575369,0.226830056559838,0.226830056559838
"LPHN3_20578.10",0.0285694613158865,715.336975307407,646.099855966667,0.146865862004975,0.226775276192452,0.226775276192452
"CaCC_10496.11",0.127305415266639,671.297016474074,563.203189322222,0.253295726754357,0.226738460621062,0.226738460621062
"IRF4_9857.38",0.041176742856335,283.311995888889,252.96847737037,0.163434068462355,0.226413061464857,0.226413061464857
"PEPA4_22572.19",0.329633707480092,7815.26847755556,5643.33695485185,0.469746941686238,0.226403174790228,0.226403174790228
"SPB13_18841.1",0.329586269211441,1348.78522631852,1867.53111116296,-0.469471637869099,-0.226299831244996,0.226299831244996
"IL.22_2778.10",0.0358657561324028,672.077798377778,749.037078166667,-0.156408889302586,-0.226060897264499,0.226060897264499
"TGF.b.R.II_5133.17",0.134854795420809,1227.04617292963,1024.85652267407,0.259767587471383,0.226032507472105,0.226032507472105
"DCUP_19289.29",0.171471963059117,6253.67619359259,5097.47370374074,0.294922092659063,0.225853367679324,0.225853367679324
"TM1L1_13652.2",0.215627335230801,1554.06940328519,1228.70613157407,0.338911025569321,0.225815123111541,0.225815123111541
"LSHB_8376.25",0.131580055327052,682.895740740741,571.730555540741,0.256329940108524,0.225777957969044,0.225777957969044
"ACTH_4890.10",0.0295105273268437,546.120329222222,493.026625522222,0.147553301513157,0.225759949463984,0.225759949463984
"CREB1_20128.1",0.0731659297214715,343.179156374074,393.786790122222,-0.198452785022169,-0.225381062601035,0.225381062601035
"dopa.decarboxylase_3538.26",0.0105204995164604,220.996358022222,239.111975307407,-0.113663791050283,-0.224822845798016,0.224822845798016
"RCL_17785.11",0.0473375647392978,1392.93506166667,1238.54269542963,0.16948439889964,0.22453192965785,0.22453192965785
"GMPR2_19446.1",0.173677758615816,7920.96028811111,9720.32683055556,-0.295329478667478,-0.224525947375563,0.224525947375563
"CK.MB_3714.49",0.207782543747325,283.812448555556,356.443786011111,-0.328736700108406,-0.224326946209683,0.224326946209683
"ACHA5_21231.3",0.0521631837496216,507.780925922222,449.968724266667,0.174381474887641,0.223667941652181,0.223667941652181
"HEPH_20127.102",0.0905206344111967,342.156111107407,294.916008225926,0.214350580058028,0.223621759437622,0.223621759437622
"RORG_11827.7",0.115787791485019,159.949670781481,188.711522633333,-0.238564492871321,-0.223376816346352,0.223376816346352
"IL.17F_2775.54",0.0431765502284421,371.889012355556,332.006646088889,0.163660001799424,0.223355324659952,0.223355324659952
"ZN843_8321.27",0.2198359033413,441.433024711111,348.957654318519,0.339142587910526,0.223122375808049,0.223122375808049
"LPH_9017.58",0.211507597848147,2528.87621392963,2010.96858025926,0.330605879299669,0.223051199981304,0.223051199981304
"MTAP_9910.9",0.247749579678535,1204.82901228889,933.684115240741,0.367821971793927,0.222895360310738,0.222895360310738
"ADM2_8100.15",0.28246493628512,230.77707817037,174.180637859259,0.40591567502422,0.222862097546373,0.222862097546373
"SCAR3.region.1_9569.14",0.129452698087473,440.445555566667,370.115555551852,0.250987923687818,0.22284938983349,0.22284938983349
"ASM_10818.36",0.144332655415932,1010.30419750741,841.133518555556,0.264383014527767,0.222249720695745,0.222249720695745
"PTPRN_25954.3",0.144117990695336,1662.74746914815,1384.90434151852,0.26378274551609,0.22191562334606,0.22191562334606
"ADAM7_10753.31",0.141900918337252,507.01312757037,607.787201648148,-0.261543193997324,-0.221792497758498,0.221792497758498
"AHSA1_11633.89",0.0415526770414094,5025.20125507407,5616.26806577778,-0.160430421286093,-0.221618743023354,0.221618743023354
"COMD5_24704.38",0.0889045134368297,609.944609062963,527.031543203704,0.210788922325069,0.221555217484966,0.221555217484966
"NR1D1_5236.2",0.0402804938745289,551.776728407407,494.281049385185,0.158753016279169,0.221445410027102,0.221445410027102
"Secretagogin_10894.25",0.270877049770513,199.379053492593,261.287551433333,-0.390124541724911,-0.221289481347664,0.221289481347664
"Tankyrase.1_9907.216",0.112907314008706,589.190905351852,501.112716048148,0.233600013836659,0.221284136166669,0.221284136166669
