"Protein","Nominal_pvalue","Active_mean","Control_mean","the_log(fold_change)","Nominal_pvalue_and_fold_change"
"PALM_18306.1",2.3794782591567e-05,1353.44271604938,1007.71240740741,0.425549862699199,1.96753756026798
"CCNB2_18208.3",0.000202622607310752,2607.41689300411,1802.4966255144,0.532624711443788,1.96714929181281
"CREL1_7628.40",0.000198414753303124,2697.9641563786,1867.53166666667,0.530738475408705,1.96501995105802
"TMM70_8074.32",0.018440632361785,713.621522633745,325.882366255144,1.13080783835692,1.96107430786374
"MPZL2_9372.157",0.000157267165056674,1422.36434156379,995.614547325103,0.514631846226398,1.95733117800667
"Uromodulin_9451.20",0.00284530363645609,9871.57835390947,5795.95681069959,0.768233929259129,1.95582477447449
"MAT1_23540.3",0.000265922147014604,2016.94913580247,1380.86897119341,0.546598271281327,1.95422300503557
"COOL.1_13932.45",4.51202867030237e-05,2116.39170781893,1550.18769547325,0.449163763856887,1.95189869591811
"Layilin_2635.61",0.000234308609341872,2357.729218107,1624.8703909465,0.537073391294393,1.94969013760501
"METK2_19788.6",0.000210194068754802,5567.65855967078,3855.41788065844,0.530183500370447,1.94968595831632
"PL8L1_22532.59",0.000302899679273059,3464.79150205761,2360.43312757202,0.553716927946845,1.94836441136384
"HYOU1_21497.32",5.45882352896588e-06,22286.8359670782,17244.8889711934,0.370022973370757,1.94739425629678
"LIPR1_6627.25",0.00275605925829801,4450.92769547325,2629.19008230453,0.75948761654462,1.94406914733374
"LL.37_15481.45",0.00119705484081852,34924.4699176955,22069.7196707819,0.662169913984173,1.93478497000541
"EF2K_12332.7",0.0968722939608625,6554.31152263374,1748.09555555556,1.90666019642611,1.9329729001859
"VLDLR_18938.3",0.000283170245129511,1581.69676954733,1084.31695473251,0.544686514260943,1.93252181638998
"Paraoxonase.2_22003.4",0.000574745616690479,3407.7220781893,2253.99432098765,0.596323798637727,1.93240177935671
"MILK2_12891.1",0.001026623694449,2589.58812757202,1655.92197530864,0.645087959684909,1.92790259743458
"VPS28.protein.homolog_17155.1",0.00165785120978213,9410.2575308642,5824.95818930041,0.691986511432686,1.92403697468028
"T185A_14633.26",0.000164898015206638,1679.35888888889,1180.69818930041,0.508270346266957,1.92267722411398
"THA11_22805.18",0.000634526570522297,1798.95596707819,1186.0879218107,0.600948916954308,1.92156432196332
"Ferritin_5934.1",0.0122576129206479,10987.6079835391,5476.91195473251,1.004442750581,1.92008683300402
"NSE_11083.23",0.00952995779868387,799.696666666667,413.92183127572,0.950094532467467,1.92005461292443
"CKLF4_23269.40",0.00170052702748984,3483.70069958848,2154.60901234568,0.693194587449306,1.91974450127973
"ENOX2_13422.66",1.89403479360164e-06,1217.0604526749,964.563827160494,0.335452217387832,1.91966290049295
"STCH_17515.6",0.000415950212454731,4379.84222222222,2955.24839506173,0.567599502504199,1.91903044746729
"PDLI3_22527.4",0.00434442189435653,6406.31271604938,3648.04205761317,0.812371860997277,1.91887758206358
"CA162_6896.3",0.00815926276342251,5135.05072016461,2716.38767489712,0.918689134979674,1.91854361029232
"PAXI1_12894.3",9.3023048163801e-05,1904.51218106996,1369.59267489712,0.475674624474177,1.91763916847778
"LRRC4_21690.31",0.000711942889909135,6598.735,4326.76650205761,0.608900214925829,1.91654682031371
"LIGO1_6620.82",0.000857544417738856,7457.05847736626,4836.65884773663,0.624595873695828,1.91547525820816
"Activated.Protein.C_3758.63",0.000535796633065467,25779.455,17180.0380658436,0.58548853113751,1.91513299695309
"DB132_9022.49",0.000750515660240536,1538.31664609054,1005.94265432099,0.612804433363257,1.91479339256368
"FZD8_20577.5",0.0009000623400324,7945.0745473251,5148.15987654321,0.626003898935491,1.90663723341398
"MANEA_8014.359",0.000217645039612214,5243.79469135803,3656.56413580247,0.520122534293292,1.90481938913472
"RPN2_21828.6",0.000683714502550217,4233.56711934156,2789.88024691358,0.601670564853355,1.90436267173072
"SELPL.ECD_11266.8",0.000571719298625013,2820.20135802469,1878.08757201646,0.586533837534669,1.90202198609051
"Plasmin_4150.75",5.84722000652201e-05,1660.71172839506,1216.4712345679,0.449099461636022,1.9010607298931
"Alkaline.phosphatase..liver_16926.44",0.0493999806464268,3576.80308641976,1304.49901234568,1.45517484402249,1.90085593094121
"RTN1_24651.1",0.00492061079440721,5656.92273662552,3196.8675308642,0.823358502340075,1.90029576724035
"Cyclin.E_19767.20",4.89344252802861e-05,3095.02886831276,2283.10154320988,0.438957839689926,1.89207751080917
"sRANKL_2917.3",0.000526854508258253,1342.79897119342,900.161399176955,0.576987731454561,1.89154424564911
"BST1_4535.50",0.00257495651173457,12726.3044855967,7675.68390946502,0.729446338003514,1.88870441566424
"GSTA4_14645.253",0.000285667637352736,1221.98555555556,844.638909465021,0.532820618388568,1.8883903107666
"CD248_15491.20",0.00142099594461986,16093.8781069959,10165.6325102881,0.662812027938534,1.88729571508299
"RELM.beta_22007.1",0.00708275919254623,2407.86654320988,1311.92767489712,0.876067244482359,1.88336719267168
"S41A2_12511.83",2.03733844485396e-05,1351.39002057613,1023.14368312757,0.40143534531009,1.88310784197995
"ASC_24671.15",0.000171192612578711,18791.1944855967,13291.5330864198,0.499549257266218,1.88155976085524
"RALYL_22545.20",0.000753110600016137,1236.80205761317,814.823724279836,0.602054733215027,1.88030196584224
"Troponin.I_5441.67",0.322970734684787,4904.84489711934,344.997304526749,3.82955052047946,1.8796844323168
"IGF.II.Mature_15295.81",0.00216675532397309,25447.0725102881,15606.3494650206,0.705366583883192,1.87923068915587
"DDX23_13946.8",0.000207000141907567,1670.43362139918,1173.5674691358,0.509321869242714,1.8763567183582
"INHBC_6408.2",0.00128949028848793,13377.81218107,8530.91049382716,0.649070563698174,1.87554256846197
"LRRT4.ECD_6572.10",3.03379886835692e-07,612.642942386831,501.872057613169,0.287726869868808,1.87540754011517
"LECT2_5970.61",0.000135076300503897,1913.98874485597,1368.16744855967,0.484337535188764,1.87410575342372
"LAML2_6536.54",2.12288470250428e-05,2932.36061728395,2220.88244855967,0.400929501869985,1.87357306763034
"B2L10_7249.37",0.000896979956180416,1573.76541152263,1029.28903292181,0.612572346103487,1.8666410269924
"SIG14_8248.222",0.00500250865348974,5118.79514403292,2917.19646090535,0.811221721378191,1.86646879405533
"Collagen.alpha.3.VI..BPTI.Kunitz.inhibitor_11196.31",0.000246525527625473,3089.99711934156,2160.10641975309,0.516503103253558,1.86361452718152
"GULP1_19180.38",0.000984576350245437,4710.69652263375,3068.3161728395,0.618493240041987,1.85965492077351
"ST4S6_14097.86",5.22412011676958e-05,1728.19339506173,1279.40574074074,0.433790810826379,1.85748654587578
"Coagulation.Factor.V_4906.35",0.000378295170663884,26981.989382716,18524.3680658436,0.542572394397435,1.85677453844961
"BT3A2_21433.3",0.000535675885109563,16008.4484567901,10802.2287242798,0.56750448716237,1.85636273853611
"Ephrin.B3.CD_7785.1",0.207893288134109,4194.00927983539,640.568353909465,2.71090562228861,1.84927010979544
"AKA7A_18399.1",6.74040519066434e-05,1470.81502057613,1082.39633744856,0.442386952406703,1.84533488605985
"MLRS_21112.6",0.00140238308213221,3722.94925925926,2378.17534979424,0.646590860462733,1.84480993877931
"GLPK5_25074.119",3.17743348912611e-05,797.040823045268,599.920308641975,0.409882747656812,1.84362125581898
"gp130..soluble_2620.4",0.00043251455702701,9031.72621399177,6178.16008230453,0.54782450007353,1.8428812188941
"PIPNA_9934.29",3.30060870115655e-05,4626.51835390946,3479.37012345679,0.411100758135798,1.84230938757403
"Proteinase.3_3514.49",0.0197512578729496,2880.96286008231,1364.98502057613,1.07766594310815,1.83677948126825
"SV422_12452.32",6.40376524074912e-06,976.15537037037,763.948436213992,0.353635528714766,1.836628962354
"F110A_23783.22",0.000205960390896043,1754.15985596708,1241.9233744856,0.498204062696953,1.83648793294728
"ADH4_8325.37",0.00494427583133405,5830.76049382716,3357.24308641975,0.796407061976589,1.83643290093414
"Semenogelin_7115.5",0.000251399094886152,3768.03757201646,2646.34609053498,0.509811600112285,1.8351363369498
"MANS1_9557.5",0.000325136786516885,4166.56467078189,2894.47979423868,0.525554287423616,1.83309861062515
"IL.10.Rb_2631.50",2.06044506284686e-05,1155.35067901235,881.106748971193,0.390942091537705,1.83196987223518
"ART_2813.11",6.48734736491674e-05,1024.83748971193,756.870761316873,0.437276276714545,1.83128368253479
"TCTP_14072.9",0.095222299317251,7025.21353909465,2029.2078600823,1.79162542446995,1.82971777442163
"PAPP2_5756.66",2.03389064739902e-05,1223.87520576132,934.264855967078,0.38955295446733,1.82765484509675
"VNN2_7012.35",0.000371710281923218,1266.15012345679,875.135946502058,0.532869418273975,1.82763309327325
"BHMT2_14226.120",0.0262910293527301,2570.71794238683,1154.8587654321,1.15445490058407,1.82426087154215
"COL10_6558.5",0.000310108998734653,1395.97890946502,973.728395061728,0.519685827044236,1.82331025694073
"GPR26_13540.1",2.66028670111913e-05,1938.83113168724,1471.45481481481,0.397943912141175,1.82062187355937
"ITM2A_7765.15",3.43127636047197e-05,2070.79691358025,1561.57281893004,0.407186226673896,1.81790094805402
"TXTP_22818.4",0.0265948770507204,4169.46471193416,1874.13393004115,1.15363812307307,1.81721309385492
"CJ072_7242.14",6.11394685559217e-05,1406.83596707819,1043.50148148148,0.431021475671964,1.81618585638186
"FLRT2_13122.19",0.00241145799657641,10439.5894238683,6456.88390946502,0.693154979891983,1.81448586075471
"sICAM.5_5124.62",0.000551425873945031,6804.1609053498,4626.25477366255,0.556572539183882,1.81359877636091
"ARL2_12587.65",0.000524955827776986,877.05829218107,597.976934156378,0.552582895888472,1.81240406267129
"Survivin_3472.40",4.22584182923935e-05,959.388765432099,720.263641975309,0.413590464838328,1.80908057728977
"LPL_21987.76",8.95754305578181e-05,3163.86650205761,2321.63722222222,0.446546172150893,1.80753455035461
"BACH2_12756.3",0.00322024090540637,2771.67882716049,1676.79823045268,0.725050993007517,1.80690801754826
"KCNN1_13539.131",1.97192901283501e-05,1079.55144032922,827.305082304527,0.383940638956868,1.80648244955183
"PEAR1.ECD_8275.31",0.00014870583389225,12662.969218107,9130.25366255144,0.471888880389381,1.80623585141474
"SPHM_21766.50",0.0010158521276867,8130.27238683128,5352.45481481482,0.603102975928128,1.80518943618905
"TPT1L_22813.5",0.00280047236895354,4194.25901234568,2569.28806584362,0.707047303660907,1.80492823183972
"BRPF1_11671.19",6.31722206962411e-05,1448.92872427984,1076.07014403292,0.429214503994532,1.80247508816748
"RGS5_16850.5",3.15473070965554e-05,1559.50705761317,1181.55800411523,0.40039962700318,1.80221381883512
"RPGF5_9059.14",0.000394778412821428,1736.57534979424,1203.11197530864,0.529474088039895,1.80214268131349
"LECT2_16763.11",0.00296329477022797,12574.6843621399,7674.11197530865,0.712450466305522,1.80123518379644
"NALD2_7986.98",0.000654646664805212,1620.72244855967,1096.28944444444,0.564008296354285,1.79579849029649
"Trypsin_3049.61",0.00193847251492203,7758.40053497942,4904.51763374486,0.661648006006508,1.79474691534935
"Caspase.10.region.2_23156.146",0.000346437407503212,1045.66991769547,729.952448559671,0.518553123472036,1.79438837872534
"IFN21_15404.3",0.126287468241905,1001.29973251029,251.022037037037,1.99598797215836,1.79367411876412
"CN16B_8389.8",0.000222382822779678,3267.58106995885,2325.76432098765,0.490518120138571,1.79181303351069
"SP6_23537.4",0.000336467806013605,2738.86627572016,1918.04742798354,0.513940433996756,1.78494415653418
"HO.1_17398.55",0.000641885575535256,3474.23983539095,2360.43697530864,0.557643387429548,1.78030014934763
"STA5A_20225.119",0.00109302851078496,4334.38133744856,2860.01409465021,0.599803829977057,1.77624017407602
"KAAG1_19492.5",0.000276443727208976,4312.28183127572,3051.18261316872,0.499082941461091,1.77593337517574
"IRF8_22065.32",2.54384506902318e-05,1729.18269547325,1323.16448559671,0.38609788639487,1.77393034619858
"ERO1A_7060.2",0.000198937014672908,3441.30823045268,2468.65987654321,0.479229036284454,1.77376295772278
"Angiogenin_4874.3",0.00363763798557195,5276.80442386831,3188.44676954733,0.726810717481808,1.77282254650851
"ESAM_7841.84",2.24242424661295e-05,17967.5787654321,13794.9730864197,0.381253368453174,1.77255450701118
"FCAR_4987.17",2.35145555910456e-05,633.663251028807,485.95366255144,0.382897595436246,1.77230401882481
"Testican.2_5491.12",0.0011708708668006,14910.2466666667,9813.77703703704,0.603423725198153,1.76893121950111
"CENPV_8817.29",6.28105336210225e-05,382.497962962963,285.7429218107,0.42073430296276,1.76791187430928
"DCA11_22120.4",4.13969848706673e-07,993.699650205761,820.850473251029,0.275690413676413,1.75974053667187
"LRIG3_3322.52",0.000942310348666003,8631.68724279835,5768.04732510288,0.581559590212859,1.75968652029933
"FcRIIIa_15388.24",0.0200425402873481,7186.60388888889,3507.92232510288,1.03469336684747,1.75695821039766
"FOLR1_17455.42",0.00106253585044041,838.792427983539,556.991769547325,0.590657828302848,1.75641343591343
"PPM1G_21823.5",0.000113089520070547,5453.82757201646,4008.6079218107,0.444167773051046,1.75294260108157
"STIM1.ECD_9271.101",0.000184153057174617,1999.18520576132,1444.12306584362,0.469218438826373,1.75244691031102
"FHR4_6471.53",0.00868869670951647,28542.0629218107,15837.7211316872,0.84972484869196,1.75132145848954
"FGD2_24318.13",0.000982188976780461,3132.1504526749,2092.11553497942,0.582190988900795,1.75111693495078
"DB135_6411.58",3.78061599893368e-05,900.108683127571,684.22353909465,0.39563147190392,1.74965543067889
"STAP1_12510.3",1.67678154882501e-05,2177.90812757202,1690.13674897119,0.365803117296316,1.74690138800153
"VSI10_10825.12",0.000236715077555636,789.992860082304,565.7279218107,0.481731236598896,1.74664863061986
"ERBB3_2617.56",0.000560605234905482,5313.5187654321,3663.68650205761,0.536371513031489,1.74392768444751
"PSP_13095.51",0.00495035730549723,8805.66868312757,5213.13263374486,0.756281997520236,1.74350487766106
"TPSG1_14103.12",2.0552629215559e-05,1469.05240740741,1135.72098765432,0.37127741216713,1.74022646691996
"Lamin.B2_20217.26",0.00415716106059969,3135.89473251029,1890.08697530864,0.730424507219229,1.73928913693616
"UNC5B_15394.79",0.00186958674457852,10177.4008641975,6542.550781893,0.637444046251595,1.73910951104087
"NRL_22516.30",3.24799226263927e-05,1384.95952674897,1058.9079218107,0.387266672332794,1.73820192852213
"PARC_3044.3",0.000510187377101459,84297.947037037,58469.7251851852,0.527807686209707,1.73768556455
"Factor.I_2567.5",4.53448089886006e-05,71489.609382716,54178.831563786,0.400004289123789,1.73740759896834
"ROBO1_5740.17",0.000777215248779571,6141.35965020576,4171.99325102881,0.557821268607049,1.73452218959382
"Factor.D_13678.169",0.000547948851337064,26960.1798765432,18654.8729218107,0.531277589660973,1.73263434097593
"NET4_3327.27",0.00142127708295844,5744.81232510288,3768.79148148148,0.608157786604285,1.73162058707388
"Testican.1_11487.4",0.000635805161409338,1545.83825102881,1062.08458847737,0.541490698123959,1.73097029229818
"Flt3.ligand_3053.49",8.75650240275373e-06,1050.43491769547,828.720164609053,0.342029847324184,1.72987386835296
"CEAM8_18873.8",0.00183550929628928,5169.86156378601,3337.6716872428,0.631283599399491,1.72734558969955
"Prokineticin.2_10754.113",0.00850125632354418,2724.20333333333,1529.94835390946,0.832351436451368,1.72339770684052
"TFF3_4721.54",0.00119432544317786,8194.82851851852,5450.64765432099,0.588286097106316,1.71948808834668
"LRTM2_8906.60",0.0029239074443969,5135.02242798354,3208.97697530864,0.678257139551668,1.71872826593116
"CUL1_17797.1",0.000980386001554167,2955.46635802469,1990.45314814815,0.570288885269518,1.71577279317647
"T23O_9880.33",0.00979651110576938,4746.53152263375,2626.90267489712,0.853510913890964,1.71464245532453
"PP2A..subunit.B_13665.35",6.9977785580487e-05,730.71170781893,549.022674897119,0.412436588639878,1.71369044271907
"MYZAP_13924.13",2.3241185285726e-05,1360.36119341564,1052.91372427984,0.369602529633344,1.71264266395697
"PRND_18231.147",0.000238525662804047,2646.80858024691,1907.50335390946,0.472568267795023,1.7118619575918
"PSG11_7846.44",6.49353904165309e-05,897.26816872428,676.132345679012,0.408233565093394,1.70948562410281
"IL.6_2573.20",5.91452286202352e-05,295.382839506173,223.213930041152,0.404158950266585,1.70881648968664
"CRLD2_5691.2",0.020366085230603,2087.3929218107,1036.75146090535,1.00963211255852,1.70738123583197
"X2A5D_22068.5",0.000682948051057341,6834.10269547325,4703.02386831276,0.539163273149381,1.70678190535907
"PAK3_3387.1",0.000680848823341535,1123.61345679012,773.799074074074,0.538114900334136,1.70418261164581
"SYIC_12815.9",0.323429139890564,3299.03938271605,297.169403292181,3.47268851232218,1.70238432880272
"PEX14.C.term_8645.257",2.31527914406422e-05,1409.85236625514,1093.25240740741,0.366917572319607,1.70080848200411
"LTBP4_13133.73",0.00171811460011164,17398.3009876543,11358.8685185185,0.615127296098291,1.70079490812514
"OCRL_10011.65",0.000738837722937951,3474.480781893,2384.74802469136,0.542960563631238,1.70025436673254
"CRIPT_19294.26",0.000682107857809251,2759.19259259259,1901.74106995885,0.536925330241195,1.69998449533255
"M3K11_21406.25",0.00529393097487259,15067.5513168724,8982.21213991769,0.74630227742516,1.69874945771263
"G6PE_7161.25",0.000505575354379516,4517.45818930041,3160.74263374486,0.515247681181034,1.69836667430514
"IR_3448.13",0.00154269320070053,9493.46790123457,6248.3425925926,0.603461632826055,1.69676540450929
"TRIL.ECD_6527.1",0.000541916854141982,2024.62880658436,1413.28343621399,0.518606600532115,1.69380408123788
"KAD4_17432.25",9.8097281240445e-05,1696.03041152263,1265.54405349794,0.422404310665114,1.69314137402997
"WNT3A_13236.25",0.000514481077847422,4251.44775720165,2977.75090534979,0.513731135106598,1.68947192778065
"CAV2_9457.3",5.53896983152367e-05,885.473106995884,672.745617283951,0.396387403848625,1.68725112809405
"RN128.region.1_6510.56",0.000329849805287516,2862.18790123457,2046.23516460905,0.484146430329645,1.68564476778981
"CADH7_7959.34",0.00117055173483543,9433.15181069959,6332.66674897119,0.57492672479067,1.68546058325916
"CAN2_14684.17",0.00256917835937998,8010.94510288065,5103.64742798354,0.650443788952247,1.68478323879912
"A4GCT_10835.25",0.0232527737374785,1347.84969135802,659.664074074074,1.03085617830747,1.68392958019887
"ITI.heavy.chain.H1_7955.195",0.000198837974890511,48291.4967078189,35232.2060493827,0.454874366544845,1.68371777193071
"TADBP_12046.51",0.000258018071849844,746.664259259259,539.666748971193,0.468390875063085,1.68075033776897
"NAR3_7970.315",0.000707311734254057,7015.46148148148,4849.70378600823,0.532641376419092,1.67802760615631
"GBP1_15326.64",0.00203135271248088,20193.0388888889,13118.7009876543,0.622233169410735,1.67518526164305
"YKL.40_11104.13",0.0166721975916372,22050.459382716,11477.2293004115,0.942034306780555,1.67494373420758
"HSP76_13672.3",2.37118037651609e-05,1801.71275720165,1401.84427983539,0.362042923744681,1.67446134147448
"Coagulation.factor.XIII_16927.9",0.0230786734166758,21383.7983539095,10533.2170164609,1.02157201206906,1.67209799392465
"IL.6.sRa_15602.43",0.000417507439843269,4154.08160493827,2949.11327160494,0.494248322008331,1.67023103932556
"SG1D1_21562.3",0.00267954824602075,1933.98277777778,1233.10728395062,0.64927662369231,1.66989949300398
