"Protein","Adjusted_linear_model","linear_modeling_pvalue","spearman","spearman_pvalue","log_lm_pvalue","log_spear_pvalue"
"MAT1_23540.3","~ PGA",0.407687424690422,-0.18111314918172,0.338164277754254,0.389672684357965,0.470872271349735
"CLYBL_23541.61","~ PGA",0.47087934279384,-0.0106337514197887,0.955524995019207,0.327090361388722,0.0197579480051608
"GLP3L_23542.8","~ PGA",0.804638786000816,0.0346124038788063,0.855913496506592,0.0943990369646775,0.0675701253791621
"TRUB1_23543.92","~ PGA",0.670013092299039,-0.038005776808101,0.841955582435655,0.173916710944434,0.074710819203341
"TCP10_23544.10","~ PGA",0.439574803350094,0.2275822111247,0.22646992666469,0.356967209514318,0.644989460541722
"NDEL1_23545.6","~ PGA",0.930341156944137,-0.0723919558249543,0.703827906856877,0.0313577660597155,0.152533517333634
"HAGHL_23546.9","~ PGA",0.800778664221667,0.0708083817912834,0.710026046316336,0.096487506625437,0.148725719500674
"TCEA3_23547.21","~ PGA + Prednisone",0.534106853497083,-0.0104063436498372,0.956475211764854,0.272371849260093,0.0193262807681417
"KDF1_23550.10","~ PGA + Sex",0.427322438902905,-0.161750776296382,0.393136002237796,0.369244301575859,0.405457182948521
"TADA3_23551.15","~ PGA",0.479421101815079,0.213330044821662,0.257677599362752,0.31928285432373,0.588923334246911
"ABI3_23553.1","~ PGA",0.483482150465176,0.0305403563636526,0.872719051024229,0.315619554874822,0.059125543496564
"SHD_23554.2","~ PGA",0.376516862319238,0.0660576596902708,0.728728150581382,0.42421556913603,0.137434453466813
"RAD_23555.11","~ PGA",0.274061680252536,0.0443400729427845,0.816029105198992,0.562151683972639,0.0882943510477376
"VGLL4_23556.4","~ PGA",0.329532013824607,0.165596598949583,0.381829721264109,0.482102387588954,0.418130269555187
"CAPZB_23557.110","~ PGA + Sex",0.64110548138081,-0.0434351734949726,0.819721917019697,0.193070509930709,0.0863334529657591
"MET2B_23558.33","~ PGA + Age",0.815375383099691,-0.185730611663398,0.325781180779494,0.0886424044185066,0.487074006951021
"DDRGK_23559.10","~ PGA",0.455837721177099,-0.107456809427666,0.571939873463176,0.34118973922316,0.242649625045588
"CEP41_23560.154","~ PGA",0.728870695551698,0.0290731288817627,0.878788098178535,0.137349510350409,0.0561158335567035
"CCD97_23561.4","~ PGA",0.735039751432557,-0.00407204751515368,0.982961792497281,0.133689173349847,0.00746336276815242
"MT21C_23564.83","~ PGA + Age",0.912010477940238,-0.0236431281567642,0.901304796060805,0.0400001721041637,0.0451283179413983
"ApoL.II_23566.6","~ PGA",0.472376441199349,-0.0133472668552259,0.944191617843984,0.32571177005991,0.0249398593805771
"GNAQ_23567.37","~ PGA",0.388148690349691,-0.14118001884996,0.456781757730671,0.411001874848656,0.340291248621893
"MEIS2_23568.41","~ PGA",0.843872286185538,0.00791787016835437,0.966876770497094,0.0737232756513723,0.0146288736971762
"STA10_23569.53","~ PGA",0.199221867207828,-0.201475651900464,0.285685990923984,0.700662993791458,0.544111055429573
"ZKSC7_23570.87","~ PGA",0.34969753388324,0.123292549764375,0.516280065864701,0.456307430386429,0.287114643211723
"CCD94_23571.93","~ PGA",0.51659289751502,0.0692248077576125,0.716242373369929,0.286851569109738,0.14493998941686
"TYW3_23572.186","~ PGA",0.814499297290561,-0.0916312622343492,0.630108253233141,0.0891092860429651,0.200584831906636
"COX19_23575.58","~ PGA",0.436647729648948,-0.125102348659999,0.510092696680853,0.359868793614971,0.292350894492556
"BEX4_23576.46","~ PGA + Age",0.894751434734866,-0.0271469834343578,0.886765595709085,0.0482975965457416,0.0521911647721892
"SMIM3_23578.6","~ PGA",0.0908354838083032,-0.309928060875585,0.0955655654678575,1.04174446632692,1.01969856610511
"KKLC1_23579.3","~ PGA + Smoking",0.981130522139049,-0.106099460255949,0.576833064055064,0.00827321354348223,0.238949853827616
"VEGF.sR3_2358.19","~ PGA + Smoking",0.669091720368205,-0.150795645133812,0.426374904852613,0.174514344236021,0.37020836449921
"PRR15_23580.2","~ PGA",0.795042504416841,0.00429875057395713,0.982013372451524,0.0996096525507697,0.00788259821878956
"Obestatin_23581.131","~ PGA",0.861540509867974,-0.0570086652121515,0.76476857601004,0.0647242970917525,0.11646996532638
"NUD15_23584.2","~ PGA",0.785018971500392,0.0764640033401079,0.687975830202101,0.10511984756255,0.162426819023558
"Cancer.testis.antigen.1B_23586.32","~ PGA",0.658275794758293,-0.0192291132660035,0.919664771664805,0.181592113913199,0.0363704491187297
"HSDL2_23588.9","~ PGA",0.0529797104147406,-0.333455446518696,0.0717437874579264,1.27589041987087,1.14421570002332
"PPR27_23589.21","~ PGA",0.30887142104899,0.216497192889004,0.25051074771261,0.510222273812219,0.601173636774185
"EXD1_23591.9","~ PGA + Age",0.851124283353104,-0.132823546430095,0.484113714089195,0.0700070184895278,0.315052614386791
"M21D2_23593.14","~ PGA",0.712237352149294,0.0929784182626756,0.625064545688605,0.147375254184716,0.204075134033486
"NR2CA_23594.2","~ PGA",0.262242676240882,-0.0916210690909577,0.630146478593749,0.58129663168573,0.200558486338925
"LACC1_23595.6","~ PGA + Age",0.519986253781884,0.0972766906397823,0.609083460579144,0.284008137106707,0.215323193433624
"CCD89_23596.17","~ PGA",0.903183012163048,0.0300879066397466,0.874589827517936,0.0442242395875511,0.0581955783043565
"AGFG2_23597.11","~ PGA",0.477073737119483,-0.0305403563636526,0.872719051024229,0.321414490668126,0.059125543496564
"ACO12_23601.43","~ PGA",0.0495963743495804,-0.368294075259455,0.0452277629754609,1.30455007063729,1.34459489249815
"NAPEP_23602.35","~ PGA",0.448710441127827,0.150891982922639,0.426076029230679,0.348033824669194,0.370512898246574
"T11L1_23605.3","~ PGA",0.571882979932814,-0.140711864134755,0.458290947742162,0.242692828494862,0.338858720945163
"SAM4B_23606.18","~ PGA",0.510938977893445,-0.110623957495008,0.560595587036111,0.291630965122912,0.251350325293908
"CP071_23607.1","~ PGA",0.481029817840538,-0.0337075044309943,0.859642993328893,0.317828001958312,0.0656818722655483
"MALD2_23611.16","~ PGA",0.859128258585984,-0.111981306666726,0.555765507091568,0.0659419958450223,0.255108410679639
"TR112_23615.4","~ PGA",0.132068507550176,-0.276673006168497,0.138852791521679,0.879200729908012,0.857445384691005
"PADI1_23616.4","~ PGA",0.104950327460146,0.242475702706812,0.196693602663986,0.979016202018095,0.706209765006494
"HYPK_23617.15","~ PGA + Prednisone",0.129342028970555,-0.155999395828602,0.410397199961441,0.888260330617877,0.386795610969933
"ZN593_23618.23","~ PGA",0.704339145095353,0.0427564989091136,0.822494012469438,0.152218174128643,0.0848672549110557
"L10K_23619.235","~ PGA + Smoking",0.927588523356843,-0.0192291132660035,0.919664771664805,0.0326446333346408,0.0363704491187297
"CPZIP_23620.16","~ PGA + Smoking",0.487611031019238,0.00746542044444841,0.968768584680883,0.311926478081147,0.0137799529791184
"TIM13_23621.326","~ PGA",0.350978236822644,0.075332879030343,0.692366541080493,0.454719812083642,0.159663927762582
"SOSSC_23622.128","~ PGA",0.0978231750731941,0.202697476309872,0.282712676355246,1.00955824527277,0.548654718048475
"NUD11_23623.48","~ PGA + Methotrexate",0.578465739410692,0.0800836011313557,0.673992838258442,0.237722357758898,0.171344718184805
