"Proteins","Age","Sex","Smoking","Prednisone","Methotrexate","Aspirin"
"Alpha.crystallin.A.chain_10087.10",0.616944035246692,0.337884292595316,0.602374394240587,0.295252496959616,0.999964185988286,0.522184780830082
"APT_10088.37",0.551530379218581,0.764224900038641,0.227233984664484,0.259716607909484,0.823785613515968,0.691328997038307
"ASML_10089.7",0.930390548548385,0.259819473017686,0.47781981331181,0.134962365679351,0.382573445669681,0.86249959981158
"CHIP_10336.3",0.52016100407322,0.938861831721299,0.0856652302369084,0.390514752104421,0.526532222113186,0.339942580473467
"NSE_10339.48",0.617940603878158,0.360055529181897,0.348115019482337,0.0146742153617906,0.526322230625475,0.379296325234706
"PIAS4_10342.55",0.066301725644168,0.941440975701177,0.841181042425535,0.17706537664474,0.0976681742963796,0.557291398234467
"IL.10.Ra_10344.334",0.88632040462958,0.468611653494204,0.945102173089755,0.223994749260433,0.966731536284472,0.623606350517392
"STAT3_10346.5",0.89016169800152,0.823128317592678,0.209451796358451,0.120707774450924,0.853342383883028,0.457418111043461
"IRF1_10351.51",0.032326592833131,0.540735007019408,0.473737734245286,0.50351949607854,0.601932138991833,0.203967472816781
"STAT3_10354.57",0.580290415723874,0.335733599569233,0.321212775313193,0.0969988509828419,0.538352680000523,0.225153842155694
"c.Jun_10356.21",0.697864406799366,0.645419459852069,0.459645991022071,0.616512059227189,0.378886698307046,0.784989343543735
"OAS1_10361.25",0.900184533120659,0.945216982768966,0.0401744851179887,0.189262125828856,0.552488650968332,0.404427641013626
"c.Myc_10362.35",0.0780480783554291,0.18650356599723,0.363458668581201,0.450637774562143,0.34722693480988,0.535156847955596
"SMAD3_10363.13",0.46664037680956,0.429775941033623,0.29881776731733,0.147246087856822,0.478964507120961,0.940381204502744
"SMAD2_10364.6",0.606487856003214,0.727532712946621,0.225330228663217,0.219072327837558,0.797912458127822,0.759442562728292
"IL.23_10365.132",0.798642697411431,0.774292125680206,0.61672692844866,0.421886869721355,0.335124485512743,0.488649135883052
"PDGFRA_10366.11",0.566284020564016,0.536845336263218,0.104575738273932,0.732063195303545,0.0465171220558989,0.234496489688671
"IL.12_10367.62",0.0958786404209914,0.342922471501398,0.398666231036582,0.306213653312198,0.675152122721903,0.601610629685657
"STAT1_10370.21",0.708146642024137,0.748054508375265,0.376328928941038,0.394381621408031,0.646784745762063,0.439917953280788
"STAT6_10372.18",0.4353156813671,0.771163358775471,0.202682588671745,0.129892854970592,0.567841142078554,0.447906014503369
"ANGL3_10382.1",0.926535764593527,0.33503516977738,0.427680422412334,0.35649284877935,0.776348704908412,0.906043907210949
"ZNRF3_10390.21",0.247430936296751,0.921910565086033,0.41915616755363,0.101079890013908,0.888790737843555,0.968990744174893
"ANGL3_10391.1",0.377964103438148,0.290631640011479,0.69426839968992,0.305870911858308,0.912416740310477,0.918665257313426
"Mcl.1_10396.6",0.489771154851444,0.828089338140489,0.81404635846904,0.0666562954329417,0.201453508765251,0.482711693577448
"ANKR1_10398.110",0.898492669909625,0.56433452082937,0.47271001859671,0.255492261527254,0.577042709603842,0.938521445074634
"STX12_10418.36",0.359501519983193,0.821132823740949,0.477060178804929,0.990474414500229,0.295129959491291,0.954982637762686
"SCAR5_10419.1",0.0170896985996062,0.923667995232147,0.134419094185243,0.479451590683292,0.435406818542018,0.570999591931878
"FAIM1_10420.30",0.978425703702709,0.829864942068933,0.593455346038319,0.581631440431737,0.4586550306019,0.296081581180991
"NPDC1_10424.31",0.513344502121606,0.797364346722341,0.619478807609081,0.800943423414123,0.603600991023972,0.135657013637971
"B4GT5_10425.3",0.888434313608025,0.963784788663803,0.33528187038411,0.576994641002767,0.467054699829464,0.632424796749638
