"Protein","Nominal_pvalue","Active_mean","Control_mean","the_log(fold_change)","Nominal_pvalue_and_fold_change","Absolute_nominal_pvalue_and_fold_change"
"DHRS9_17467.1",0.349562533110333,1191.28592591852,1346.47625515556,-0.176669065900422,-0.0806450334443689,0.0806450334443689
"discoidin.domain.receptor.1_11836.144",0.145263702562651,455.440411514815,426.086625507407,0.0961155411238271,0.0805297227964316,0.0805297227964316
"UROL1_9114.84",0.235541811476649,475.182530862963,434.819032922222,0.128066707838053,0.0804171826093485,0.0804171826093485
"K1161.CD_8093.13",0.217602180582206,198.958106985185,216.425102881481,-0.121403159284897,-0.0804097747988407,0.0804097747988407
"ANR54_18404.22",0.150405677512945,1334.12868302222,1247.00497944444,0.0974306019569372,0.0801596412922543,0.0801596412922543
"ICAM4_9461.2",0.328516600695897,1193.26977362593,1064.67757204815,0.164503653951586,0.0795280872794439,0.0795280872794439
"MCEE_9388.18",0.58830769724915,5761.80187251852,4536.18759255556,0.345039748601807,0.0794955948376524,0.0794955948376524
"KS6B2_25112.6",0.121148596215891,331.718765414815,352.220514407407,-0.0865183105587362,-0.0793097445457227,0.0793097445457227
"LY75_16620.26",0.283008363913507,5785.91078185185,5235.10436214815,0.1443257795673,0.0791194976191133,0.0791194976191133
"AGO61_6359.50",0.25295994091481,914.048539048148,833.960164644444,0.132292306443312,0.0789716606679685,0.0789716606679685
"PTPRJ_8250.2",0.123808777836616,825.775905366667,777.503251040741,0.0869016162009548,0.0788413664612979,0.0788413664612979
"BAP31_24485.32",0.453426881876754,1701.51592597407,1451.45590535185,0.229319910675703,0.0787697235036533,0.0787697235036533
"UBP11_21762.32",0.102232302288524,211.733786014815,223.729835392593,-0.0795061629725545,-0.0787438466486317,0.0787438466486317
"GOSR2_10426.21",0.49503985958503,192.94746914037,161.422613171481,0.257365425161739,0.0785890627752598,0.0785890627752598
"DLK1_6373.54",0.297350558798846,1654.87985598148,1834.51251022222,-0.148670261493175,-0.0783092713378681,0.0783092713378681
"MTCP1_19374.72",0.37143475131321,1079.74460898519,952.087510274074,0.181524024619162,0.078076653532044,0.078076653532044
"LYSM3_10563.13",0.315988810228499,157.294794237037,175.253189303704,-0.155969774309374,-0.0780360914564024,0.0780360914564024
"BAFF_3059.50",0.195404227692597,898.486255074074,832.537386818518,0.109981372890406,0.0779840570202179,0.0779840570202179
"SIA7A_7867.154",0.32056625438134,661.392551433333,593.054218092593,0.157342793469291,0.0777402731150152,0.0777402731150152
"NTM1A_12454.105",0.357818108069107,520.023621407407,460.938353911111,0.174003340402185,0.0776642481217801,0.0776642481217801
"F171B.ECD_8786.6",0.295746837476343,347.845679014815,385.076399177778,-0.146697305509982,-0.0776145943706254,0.0776145943706254
"CG069_9544.24",0.096305276996274,280.407654311111,266.015082311111,0.0760176864339078,0.0772605691675704,0.0772605691675704
"DNER.CD_11442.1",0.430556807568156,931.618374511111,1077.97220165556,-0.210508975360336,-0.0770398728182472,0.0770398728182472
"CDHR1_8372.29",0.322287604164093,816.617263366667,732.806049396296,0.156228653502191,0.0768264399128744,0.0768264399128744
"CGAT2_10772.21",0.173873325893824,264.838415640741,284.064753085185,-0.101107427464612,-0.0768180907352841,0.0768180907352841
"NUDT7_24413.96",0.62251552418986,654.924670807407,846.118559685185,-0.369530852641792,-0.0760678571848165,0.0760678571848165
"MAZ_13436.54",0.248558142508703,443.410884774074,406.456131688889,0.125544533270978,0.0759007102280736,0.0759007102280736
"inhibin.A_21899.36",0.33829427036256,1023.63106998148,915.478045311111,0.161098649545852,0.0758299974639493,0.0758299974639493
"TCEA1_18204.1",0.369961067771233,4188.27868333333,4728.87534992593,-0.175139673034124,-0.0756330127190831,0.0756330127190831
"JARD2_12623.84",0.198716826653178,445.2277572,413.273045274074,0.10744826808909,0.0754034721908659,0.0754034721908659
"Neurotrophin.5_4146.58",0.236825881879789,396.305308651852,364.555308651852,0.120474582650839,0.075365385484036,0.075365385484036
"COPE_19310.81",0.2739938117083,768.769835403704,700.659650237037,0.133837913153233,0.0752516041135255,0.0752516041135255
"PRP19_25054.15",0.482956930732521,1082.3299794037,1276.19061724815,-0.237703418974045,-0.0751360533528892,0.0751360533528892
"IRF4_19564.61",0.359378638984132,707.119670788889,628.954670792593,0.168998348230767,0.0751109339990452,0.0751109339990452
"ASGR2_9474.22",0.462839708724279,256.702160485185,299.850102866667,-0.224146029600786,-0.0749924000353297,0.0749924000353297
"K319L_13698.28",0.10554463378831,864.918065837037,820.117818933333,0.0767322883197233,0.0749339783371074,0.0749339783371074
"STX10_12842.43",0.134039652215885,4450.77858018519,4723.10275714815,-0.0856771929298502,-0.0747762015959151,0.0747762015959151
"CR001_9004.24",0.477118423799458,698.109506140741,820.246831240741,-0.232604758624521,-0.0747530781901291,0.0747530781901291
"CPLX1_18332.17",0.172404108574019,199.664485596296,213.667345681481,-0.0977886980356883,-0.0746570151019078,0.0746570151019078
"CTF8_24294.13",0.339263286545434,265.392263374074,296.210082303704,-0.158494433092315,-0.0744072934537323,0.0744072934537323
