"Protein","Study_group","Age","Sex","Smoking","Prednisone","Methotrexate","Aspirin"
"RD23A_10058.1",0.526629371558616,0.00357968313593134,0.509338164147855,0.254476808987366,0.110469475818075,0.0320826065899412,0.195082074364456
"FANCL_10063.10",0.87027338694849,0.846317406493199,0.314700502406263,0.30446050594881,0.276872518793081,0.879982346380458,0.113456636966786
"RBBP9_10064.12",0.24265641515145,0.795516506164636,0.596740304284148,0.479026997711674,0.420953201841978,0.0942599629139069,0.423809429596429
"PIN1_10069.2",0.202133514357133,0.267788142502187,0.551454177758987,0.619909711535316,0.356705090272037,0.517289348342862,0.41789380356243
"PLCG2_10070.22",0.313451542131143,0.0252655633618444,0.459577490545976,0.176631331884925,0.924174640265175,0.575313202054315,0.884874333356325
"TYDP1_10073.22",0.931050344636967,0.289950308249251,0.502682070958733,0.126860976227746,0.428908998189069,0.179229565169571,0.193085096797028
"BRD2_10074.128",0.48554072964712,0.694945675100768,0.501753184557406,0.636611188907307,0.22689339862854,0.122868962213467,0.879700856952857
"ACBD6_10075.75",0.94783473799685,0.631517549220524,0.771550381261606,0.390801999199557,0.956619581102017,0.704723116592084,0.491335917182376
"AP4M1_10076.1",0.117903908124425,0.733412607392504,0.344353296484094,0.0931680578938984,0.539290089857257,0.216164563094587,0.131913359490266
"BAG3_10078.5",0.347301976076752,0.212948497593883,0.779875967224166,0.560823010705247,0.601164602352714,0.708344866250573,0.450834564074827
"EI2BA_10080.9",0.961827681526818,0.238956716078307,0.979122701782306,0.269644994119068,0.735279774150691,0.807083915970596,0.476250882829406
"SATB2_10081.17",0.431088622600821,0.497276015401252,0.489648957591238,0.117201662377499,0.523508003405287,0.688970552356371,0.000402796031359092
"NFL_10082.251",0.308061559913716,0.757898425283814,0.207233316714644,0.712346663448011,0.30953163002678,0.136982199586344,0.637767857923324
"STAR_10085.25",0.422240897288528,0.893257268875777,0.446167948691912,0.456885574281574,0.788125610926229,0.113845080377427,0.308832398010297
"CBS_10086.39",0.328787279410527,0.79511326149336,0.212892626123497,0.151930566579332,0.274018295238464,0.0457483001431966,0.112948355586724
"Alpha.crystallin.A.chain_10087.10",0.395086348866181,0.802593782712818,0.24989507985032,0.545135159533369,0.407520193878407,0.794743076440373,0.676347052734967
"APT_10088.37",0.826886780571694,0.387845669272407,0.896141843648493,0.243499225019047,0.870612207616991,0.3794925045968,0.51126351440286
"ASML_10089.7",0.84647234225966,0.373048422985251,0.473068088074028,0.554957683474018,0.579272455077,0.56973862899102,0.960562983734651
"CHIP_10336.3",0.0867111590584681,0.399564199771156,0.862401771861578,0.104321849767045,0.974821025332628,0.835670303636939,0.305247035509653
"NSE_10339.48",0.516555121671472,0.471421460874747,0.306468042158369,0.762531412946239,0.112810406137253,0.95872858463668,0.671291671501653
"PIAS4_10342.55",0.326911609732049,0.0018494504054958,0.439825046147684,0.927249986390628,0.819227699982649,0.0725558293159462,0.459964558409071
"IL.10.Ra_10344.334",0.458325239130446,0.560334514350079,0.588906082715936,0.658917602569574,0.25424933195946,0.500866387148678,0.551015528652836
"STAT3_10346.5",0.863409020265228,0.829142638390445,0.790363433462656,0.301731987949866,0.669402187429853,0.292778165974048,0.325938404855484
"IRF1_10351.51",0.139026868567305,0.02464960304322,0.532383823923919,0.493058378253609,0.00764979632541925,0.432833212939951,0.0670857124982047
"STAT3_10354.57",0.74519287288539,0.809458040334864,0.402847698018169,0.376733586083155,0.477016149255352,0.422479329497317,0.315242124160381
"c.Jun_10356.21",0.888226790055477,0.959896031122275,0.610196780428306,0.885055258345956,0.373430199675836,0.92296594715233,0.358687093855005
"OAS1_10361.25",0.252537084990873,0.952783820889238,0.880605290828611,0.0862327246944074,0.511398135776023,0.952496800055283,0.209416753374384
"c.Myc_10362.35",0.833144211394705,0.0998768337536137,0.363566123639892,0.580399629755575,0.0479152051137682,0.515223580467853,0.0163193311884004
